,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Day of the week,"1-workday, 2-Saturday, 3-Sunday, >4-untypical",Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24
20010701,7,3,892219,854135,841710,810777,737062,679393,698354,767861,836547,897651,941504,940107,909540,879266,866255,858757,857171,846586,849722,871733,883864,940727,951286,895773
20010702,1,1,862518,844568,852844,813498,779352,789024,931157,1098553,1245709,1315505,1359921,1379531,1383606,1333824,1293081,1344021,1351005,1319741,1252566,1206295,1250313,1309202,1294965,1251603
20010703,2,1,1195984,1164758,1146335,1138033,1079888,1042727,1065394,1171734,1269503,1308228,1365545,1427060,1400521,1370046,1319752,1387134,1398917,1377993,1352471,1285351,1342937,1347254,1306993,1272667
20010704,3,1,1267195,1161677,1193842,1167182,1111249,1080733,1135630,1220422,1290371,1361542,1403367,1413006,1414926,1373571,1325009,1399092,1392920,1387801,1325659,1218405,1292907,1346899,1327506,1293667
20010705,4,1,1247597,1168864,1184138,1158202,1119368,1069586,1130600,1206223,1300832,1340263,1331453,1386808,1426449,1400599,1349760,1389279,1408417,1375834,1296444,1200765,1239676,1287489,1319188,1289098
20010706,5,1,1233339,1181299,1176728,1166742,1098092,1043417,1076306,1159127,1247792,1308600,1345213,1358146,1355019,1340910,1321069,1356685,1364335,1326235,1267476,1161202,1213253,1270619,1302158,1262108
20010707,6,2,1205579,1145036,1116539,1104095,1025733,914290,877708,919168,958250,1002037,1021876,1015881,998508,967706,932566,952562,937055,917726,895229,890424,890973,953354,951583,940926
20010708,7,3,897854,856700,831631,818805,753156,708879,723789,765038,841925,902345,937501,947852,944966,901568,890942,889417,882599,857156,862767,876874,875582,967326,971041,930042
20010709,1,1,896455,874350,862122,865064,799086,808764,939089,1124892,1258705,1328019,1377581,1389841,1374921,1351801,1319837,1350844,1367759,1324109,1276617,1258171,1284830,1315956,1299095,1273914
20010710,2,1,1215745,1160349,1147896,1157351,1102586,1050112,1116378,1197905,1301571,1368314,1407762,1428291,1399930,1373136,1337329,1385555,1392424,1359987,1305112,1258580,1272640,1325409,1321730,1297464
20010711,3,1,1253028,1178077,1172010,1158120,1100266,1038766,1087422,1156956,1251106,1315442,1370618,1381694,1389024,1370953,1345413,1371387,1380501,1372694,1298722,1249946,1355248,1333492,1304507,1289879
20010712,4,1,1240578,1169885,1149811,1150739,1096040,1023140,1089282,1189270,1279073,1333655,1500867,1524195,1534563,1508755,1483497,1519099,1526627,1475063,1417662,1349173,1383497,1467225,1453970,1407976
20010713,5,1,1237912,1184199,1185420,1160795,1096901,1040138,1089094,1183361,1280056,1324898,1357249,1380293,1360381,1316270,1310507,1341486,1359932,1328953,1287022,1212419,1253068,1278950,1303123,1290172
20010714,6,2,1243160,1182951,1143365,1127439,1063127,983422,920719,978580,1018119,1064748,1081882,1085440,1055436,1024725,1001378,1006605,995619,980489,945087,935402,942904,1019216,993991,965263
20010715,7,3,917470,880659,865529,846581,774603,730836,738637,803397,899416,927136,967710,941564,941811,873889,856172,883359,862488,853830,870968,866291,906379,986379,979783,972103
20010716,1,1,910010,896796,897126,876130,855511,840857,978154,1143149,1276253,1380444,1386792,1415798,1409497,1374220,1354772,1390958,1414216,1386910,1324080,1260868,1222000,1155889,1183223,1198357
20010717,2,1,1154375,1073169,1106779,1094417,1059260,1000524,1031055,1092571,1181443,1214658,1203413,1229291,1217761,1214601,1215241,1238844,1268676,1278067,1221666,1172726,1185326,1169286,1162413,1152203
20010718,3,1,1088025,1037066,1016547,1031476,999505,930691,966160,1018513,1178774,1245728,1278106,1293868,1250454,1200198,1177199,1213170,1248017,1209767,1182376,1110495,1144989,1206315,1187481,1171237
20010719,4,1,1132841,1046643,1053224,1039493,991670,930945,1013715,1073120,1153945,1190979,1274140,1392147,1378883,1363952,1335089,1348203,1319796,1298645,1266201,1240504,1276518,1264504,1261155,1247680
20010720,5,1,1144638,1121481,1112289,1130070,1095584,1022868,1064737,1133327,1243116,1299059,1358664,1388175,1371289,1323102,1315389,1364272,1358134,1343130,1311152,1297025,1274077,1250282,1237707,1226836
20010721,6,2,1166404,1102128,1109426,1071385,1005679,892625,858611,887483,934573,957447,975903,1004611,993328,961051,931425,920696,923565,919833,931211,922241,952734,973488,940176,885706
20010722,7,3,852524,829379,819325,786997,732608,702979,693573,742792,819153,881924,916304,923839,903284,858525,834625,826242,820842,811647,813636,836001,854768,914719,906132,870275
20010723,1,1,846163,837990,837253,822726,783482,785210,918531,1165220,1305537,1360497,1425813,1440553,1426187,1419384,1395056,1426554,1396173,1332349,1265503,1224283,1285111,1293209,1248952,1239041
20010724,2,1,1157765,1141185,1130260,1136529,1088721,1044073,1091546,1188316,1280199,1339840,1438811,1436429,1447182,1429611,1382906,1419960,1388415,1363060,1320262,1238846,1296022,1299172,1275665,1282601
20010725,3,1,1184135,1180803,1173804,1163880,1122471,1012638,1069794,1180371,1277340,1361115,1429100,1463201,1454617,1404174,1408220,1444318,1403865,1383022,1316204,1240293,1268601,1278295,1282852,1282409
20010726,4,1,1222004,1160358,1130683,1115735,1085391,1025285,1057056,1189629,1294007,1356879,1422789,1446025,1431992,1400209,1371241,1439009,1391456,1384647,1321520,1238850,1285254,1289134,1280553,1268119
20010727,5,1,1222384,1167634,1167396,1150357,1115306,1054591,1074887,1211673,1320550,1375939,1398337,1415397,1395331,1391708,1351504,1387857,1337583,1296578,1238491,1145284,1222655,1220926,1233872,1193540
20010728,6,2,1180710,1142815,1124449,900369,803332,747490,858611,944856,1024815,1051045,1082111,1065710,1045804,1015081,963279,972155,957588,928489,911876,903618,921891,996832,969172,940276
20010729,7,3,882967,844468,811994,801577,744701,687008,690205,762216,821122,888520,912676,915868,898744,849758,826476,793082,790501,814626,794421,815013,844945,910683,909457,878362
20010730,1,1,836077,815168,802573,785293,761179,738724,867335,1027784,1168115,1237388,1276702,1302277,1293488,1246343,1237278,1285305,1307629,1289049,1226573,1155873,1225836,1263144,1243234,1213647
20010731,2,1,1144739,1088538,1082437,1056546,1047621,973107,990423,1075281,1175442,1249896,1279507,1307200,1305897,1298906,1282792,1316244,1314207,1304337,1256694,1205524,1266180,1303340,1229959,1203469
20010801,3,1,1174872,1126951,1113149,1105148,1072573,994936,1054035,1130114,1206286,1254275,1285539,1302596,1301160,1302208,1281779,1296624,1311454,1276000,1223264,1161609,1217519,1247790,1241753,1193890
20010802,4,1,1166894,1116668,1099337,1080575,1048464,980761,1012428,1086068,1177417,1219639,1248244,1274211,1272741,1260819,1241634,1292318,1294515,1271058,1217812,1153438,1218695,1252409,1259534,1224879
20010803,5,1,1169760,1128460,1107730,1105960,1086240,1010970,1025820,1099740,1179500,1242350,1285050,1310870,1304090,1293570,1258840,1289380,1307620,1304890,1244780,1171890,1248980,1273280,1216980,1233360
20010804,6,2,1181690,1148980,1120330,1101840,1077780,971550,925210,947780,1016110,1039820,1089840,1107810,1071230,1024850,1013750,1011780,990760,962220,981760,1004550,1004980,1000260,981730,937950
20010805,7,3,894760,860540,845820,834860,796680,712740,699370,767670,853700,914030,953510,966520,931540,905730,864370,869870,841460,841550,851740,852730,890360,964620,959570,923440
20010806,1,1,875018,867553,863723,816456,788305,750136,889124,1069236,1168023,1230364,1270583,1278109,1292561,1257499,1230748,1268935,1273925,1251225,1210037,1165187,1242672,1233796,1201067,1183733
20010807,2,1,1143408,1082250,1065798,1069264,1043294,971539,994575,1086252,1149257,1230358,1247621,1265735,1310791,1264602,1247880,1258521,1284823,1270644,1207604,1132977,1230426,1239655,1204943,1186580
20010808,3,1,1127247,1070444,1054715,1060488,1047497,973257,988938,1075086,1164125,1226753,1250414,1264065,1284734,1269901,1260072,1290549,1299842,1282953,1275047,1240843,1287709,1240561,1231113,1220963
20010809,4,1,1157625,1121366,1098653,1111623,1115092,1005679,1044405,1129921,1220964,1267186,1284632,1323051,1316434,1346416,1327126,1357877,1368901,1331305,1284380,1220615,1323479,1315772,1280643,1254225
20010810,5,1,1170562,1175598,1180816,1152807,1156708,1082790,1088661,1170826,1269373,1356860,1406794,1472228,1444611,1414815,1375911,1390649,1407002,1395245,1364513,1314544,1359954,1324781,1245174,1272603
20010811,6,2,1211767,1200038,1159298,1158605,1136874,1017929,976585,998978,1067770,1065499,1119894,1113381,1105221,1037233,1001499,1018551,995767,969005,969021,952352,1017800,1054479,991860,973478
20010812,7,3,917877,899377,877355,861569,838126,762216,771497,815774,879371,928987,971209,986130,964754,914828,889745,886464,877550,864494,867081,897725,953382,985879,956767,943061
20010813,1,1,893778,911901,894405,893938,893475,862250,970400,1105048,1260102,1325619,1366295,1385586,1390193,1374165,1333442,1346901,1373033,1353370,1322782,1313719,1332405,1309362,1267633,1238868
20010814,2,1,1178871,1160847,1145947,1161388,1136884,1071155,1100278,1193285,1273662,1335100,1345896,1353378,1353974,1373663,1367437,1397829,1396364,1355472,1306219,1250403,1339630,1325735,1324708,1310385
20010815,3,4.07,1248329,1173756,1178165,1156175,1107542,996253,913830,903675,947924,989284,1010152,1000327,975638,946872,941118,932350,915828,914767,919770,918063,1007462,1015423,991617,981017
20010816,4,1,929199,914750,923963,901511,871466,840912,949139,1098082,1242310,1306018,1343640,1347104,1358559,1336771,1305255,1337742,1336775,1308667,1258577,1236033,1352955,1309989,1266857,1238368
20010817,5,1,1194259,1149548,1143534,1137118,1110894,1034789,1066751,1159411,1258298,1310105,1347965,1352363,1353153,1318415,1318544,1349504,1358214,1321333,1266055,1227119,1325176,1277396,1257501,1241331
20010818,6,2,1188585,1154521,1146461,1128567,1085002,973637,944095,964865,1001102,1052273,1074121,1051576,1026822,1001651,953343,965874,939174,917533,933051,937173,1026660,1014806,961013,927460
20010819,7,3,876250,871393,847073,817236,776060,706391,732191,779077,847215,905837,932349,937431,922919,865549,849289,848895,856809,855965,838818,877169,950072,977765,956987,873838
20010820,1,1,856217,849909,843125,831994,799074,798845,912093,1068099,1260820,1330610,1347724,1364612,1351994,1339277,1299764,1342956,1369085,1328474,1299929,1293222,1368722,1279353,1238056,1252879
20010821,2,1,1202020,1168396,1162724,1144088,1143776,1062356,1096254,1187199,1274153,1314930,1369653,1382715,1383757,1364004,1336954,1375672,1389880,1345813,1310295,1289591,1422552,1362280,1335562,1309220
20010822,3,1,1247707,1164065,1145996,1138530,1091892,1023636,1063979,1201964,1286757,1333957,1358585,1379644,1385847,1354999,1346577,1371435,1379983,1356016,1265777,1232541,1337252,1262810,1274318,1264307
20010823,4,1,1211972,1172167,1163470,1139354,1135476,1080384,1101403,1183210,1282713,1330630,1317553,1384762,1335516,1311488,1301012,1330540,1333876,1305743,1266913,1236164,1333320,1267241,1307534,1269350
20010824,5,1,1224795,1140576,1175464,1149792,1129636,1064057,1094595,1179681,1281017,1291241,1399845,1408941,1398145,1364479,1333118,1358287,1357080,1314681,1267736,1261714,1378399,1288070,1275629,1277068
20010825,6,2,1218558,1165523,1170201,1155836,1122630,1008788,939319,993219,1015745,1062264,1064001,1064596,1063436,1010722,982829,983321,978483,936000,943788,957009,1059074,998957,940759,942101
20010826,7,3,923115,862487,824451,800298,779845,722661,711218,760500,821557,876512,908518,904459,882935,855409,830194,814384,823906,804176,816602,851754,948346,905883,904906,877342
20010827,1,1,861790,860597,843337,831092,825794,797824,911698,1053871,1206581,1255350,1297902,1309995,1298327,1283038,1273353,1293654,1287269,1263680,1241993,1259893,1299782,1221995,1168379,1168751
20010828,2,1,1154268,1114759,1107032,1096732,1058211,1017723,1040262,1136990,1226353,1250110,1297379,1324898,1331188,1308558,1301721,1337546,1344260,1314125,1270512,1253005,1367995,1255095,1237097,1228216
20010829,3,1,1153562,1112829,1117485,1076875,1072593,1029259,1041347,1145892,1227922,1285921,1313382,1352701,1348617,1343074,1282318,1353649,1361304,1314334,1271706,1253957,1359959,1280001,1235182,1213324
20010830,4,1,1160930,1123342,1117930,1095378,1083172,1019056,1026948,1058115,1243715,1283533,1307254,1323810,1342766,1339259,1308361,1325179,1349897,1311636,1249836,1252043,1373412,1285804,1249418,1241717
20010831,5,1,1178920,1144507,1154551,1122180,1110811,1057216,1061578,1156066,1245929,1302705,1352108,1365343,1342885,1330041,1277816,1305136,1340825,1309739,1273869,1278105,1343679,1249163,1229885,1238008
20010901,6,2,1150829,1097733,1128253,1119886,1074532,981062,907942,918150,1000141,1048021,1102645,1097201,1089735,1052010,1012055,1017377,1023476,1011244,988520,1037856,1068281,999428,958362,923771
20010902,7,3,892458,847910,830806,815285,770552,726844,721845,760521,854481,924143,967390,972465,941585,904344,873847,849267,839732,818895,845220,909761,1002639,965422,945978,897543
20010903,1,1,849764,849415,849437,842483,826365,838030,947734,1111560,1230878,1287252,1328368,1309920,1292961,1280741,1237289,1268548,1293346,1266092,1239787,1273152,1371654,1278266,1228323,1216213
20010904,2,1,1172750,1110108,1109327,1091926,1083192,1052007,1072216,1162259,1256282,1273860,1295385,1324716,1322643,1307273,1282170,1325417,1336453,1330240,1311413,1332350,1385203,1291735,1233434,1215775
20010905,3,1,1166499,1170268,1122108,1122361,1115088,1111754,1158286,1261358,1350602,1382961,1417113,1423455,1413973,1387769,1360061,1366847,1372030,1368493,1364684,1403430,1393848,1266477,1238578,1220348
20010906,4,1,1153403,1090767,1081933,1073566,1042283,1037155,1078904,1183330,1282364,1336973,1362773,1396569,1378406,1361195,1332197,1367729,1370529,1358937,1332956,1364285,1392734,1299280,1245419,1229416
20010907,5,1,1197646,1155098,1127918,1113965,1104691,1091871,1130071,1215138,1282152,1321654,1342441,1369120,1363422,1344066,1337246,1400681,1405930,1375902,1354675,1362122,1408037,1319842,1289544,1269571
